hanzi,pinyin,definition 
菩,pú,"herb, aromatic plant"
萄,táo,grapes
狮,shī,lion
掘,jué,"dig, excavate; excavate cave"
抄,chāo,"copy, confiscate, seize"
岭,lǐng,"mountain ridge, mountain peak"
晕,yūn,"halo in sky; fog; dizzy, faint"
逮,dǎi,"seize, catch; reach, arrive"
砍,kǎn,"hack, chop, cut, fell"
掏,tāo,take out; pull out; clean out
狄,dí,tribe from northern china; surnam
晰,xī,"clear, evident; clearly"
罕,hǎn,"rare, scarce; surname"
挽,wǎn,"pull; pull back, draw back"
脾,pí,"spleen, pancreas; disposition"
舟,zhōu,"boat, ship; KangXi radical 137"
痴,chī,"foolish, stupid, dumb, silly"
蔡,cài,surname; species of tortoise
剪,jiǎn,"scissors; cut, divide, separate"
脊,jí,"spine, backbone; ridge"
弓,gōng,"bow; curved, arched; KangXi radical number 57"
懒,lǎn,"lazy, languid, listless"
叉,chā,"crotch; fork, prong"
拐,guǎi,"kidnap, abduct; turn"
喃,nán,"keep talking, chattering; mumble"
僚,liáo,"companion, colleague; officials; bureaucracy; a pretty face"
捐,juān,"contribute; give up, renounce"
姊,zǐ,elder sister
骚,sāo,"harass, bother, annoy, disturb"
拓,tà,expand; open up; support or push
歪,wāi,"slant; inclined; askewd, awry"
粘,zhān,"viscous, mucous; glutinous"
柄,bǐng,"handle, lever, knob; authority"
坑,kēng,"pit, hole; bury, trap; harry"
陌,mò,foot path between rice fields
窄,zhǎi,"narrow, tight; narrow-minded"
湘,xiāng,Hunan province
兆,zhào,omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion
崖,yá,"cliff, precipice; precipitous"
骄,jiāo,spirited horse; haughty
刹,shā,"temple, shrine, monastary"
鞭,biān,whip; whip; string of firecrackers
芒,máng,Miscanthus sinensis
筋,jīn,muscles; tendons
聘,pìn,"engage, employ; betroth"
钩,gōu,"hook, barb; sickle; stroke with"
棍,gùn,"stick, cudgel; scoundrel"
嚷,rǎng,"shout, brawl, make uproar, cry"
腺,xiàn,gland
弦,xián,"string; hypotenuse, crescent"
焰,yàn,"flame, blaze; glowing, blazing"
耍,shuǎ,"frolic, play, amuse, play with"
俯,fǔ,"bow down, face down, look down"
厘,lí,thousandth part of tael
愣,lèng,be in a daze
厦,shà,"big building, mansion"
恳,kěn,"sincere, earnest, cordial"
饶,ráo,"bountiful, abundant, plentiful"
钉,dīng,"nail, spike; pursue closely"
寡,guǎ,"widowed; alone, friendless"
憾,hàn,"to regret, remorse; dissatisfied"
摔,shuāi,"fall ground, stumble, trip"
叠,dié,pile; be piled up; fold up
惹,rě,"irritate, vex, offend, incite"
喻,yù,"metaphor, analogy; example; like"
谱,pǔ,"list, table; musical score"
愧,kuì,"ashamed, conscience-stricken"
煌,huáng,"bright, shining, luminous"
徽,huī,"a badge, insignia"
溶,róng,"to melt, dissolve; overflowing with"
坠,zhuì,"fall down, drop, sink, go to ruin"
煞,shā,"malignant deity; baleful, noxious; strike dead"
巾,jīn,kerchief; towel; turban; KangXi radical number 50
滥,làn,"flood, overflow; excessive"
洒,sǎ,sprinkle; scatter; pour; to wipe away; to shiver
堵,dǔ,"wall; stop, prevent; stop up"
瓷,cí,"crockery, porcelain, chinaware"
咒,zhòu,"curse, damn, incantation"
姨,yí,
棒,bàng,"stick, club, truncheon; hit"
郡,jùn,administrative division
浴,yù,"bathe, wash; bath"
媚,mèi,"charming, attractive; flatter"
稣,sū,"revive, to rise again; collect"
淮,huái,river in Anhui province
哎,āi,interjection of surprise
屁,pì,break wind; fart; buttocks
漆,qī,"varnish, lacquer, paint"
淫,yín,"obscene, licentious, lewd"
巢,cháo,"nest, living quarter in tree"
吩,fēn,"order, command, instruct"
撰,zhuàn,"compose, write, compile"
啸,xiào,"roar, howl, scream; whistle"
滞,zhì,"block up, obstruct; stagnant"
玫,méi,rose
硕,shuò,"great, eminent; large, big"
钓,diào,"fish; fishhook; tempt, lure"
蝶,dié,butterfly
膝,xī,knee
姚,yáo,"handsome, elegant; surname"
茂,mào,"thick, lush, dense; talented"
躯,qū,body
吏,lì,"government official, magistrate"
猿,yuán,ape
寨,zhài,"stockade, stronghold, outpost; brothel"
恕,shù,"forgive, excuse, show mercy"
渠,qú,"ditch, canal, channel, gutter"
戚,qī,relative; be related to; sad
辰,chén,early morning; 5th terrestrial branch
舶,bó,"large, ocean-going vessel"
颁,bān,"confer, bestow; publish, promulgate"
惶,huáng,"fearful, afraid, anxious, nervous"
狐,hú,species of fox
讽,fěng,"recite, incant; satirize"
笨,bèn,"foolish, stupid, dull; awkward"
袍,páo,"long gown, robe, cloak"
嘲,cháo,"ridicule, deride, scorn, jeer at"
啡,fēi,morphine; coffee
泼,pō,"pour, splash, water, sprinkle"
衔,xián,"bit; hold in mouth, bite; gag"
倦,juàn,"be tired of, weary"
涵,hán,"soak, wet; tolerate, be lenient"
雀,què,sparrow
旬,xún,ten-day period; period of time
僵,jiāng,"stiff and motionless, stock still"
撕,sī,"rip, tear; buy cloth"
肢,zhī,human limbs; animal feet
垄,lǒng,"grave, mound; ridge in field"
夷,yí,ancient barbarian tribes
逸,yì,"flee, escape, break loose"
茅,máo,"reeds, rushes, grass; surname"
侨,qiáo,"sojourn, lodge"
舆,yú,"cart, palanquin, sedan chair"
窑,yáo,kiln; coal mine pit
涅,niè,"blacken; black mud, slime"
蒲,pú,type of rush; vine
谦,qiān,"humble, modest"
杭,háng,cross stream; navigate
噢,ō,"moan; interjection for pain, sad"
弊,bì,"evil, wrong, bad; criminal"
勋,xūn,meritorious deed; merits; rank
刮,guā,"shave, pare off, scrape"
郊,jiāo,"suburbs; waste land, open spaces"
凄,qī,"bitter cold, miserable, dreary"
捧,pěng,hold up in two hands
浸,jìn,"soak, immerse, dip, percolate"
砖,zhuān,"tile, brick"
鼎,dǐng,"large, three-legged bronze caldron"
篮,lán,basket
蒸,zhēng,steam; evaporate
饼,bǐng,"rice-cakes, biscuits"
亩,mǔ,Chinese land measure; fields
肾,shèn,"kidneys; testes, gizzard"
陡,dǒu,"steep, sloping; abruptly, sudden"
爪,zhǎo,"claw, nail, talon; animal feet"
兔,tù,"rabbit, hare"
殷,yīn,"many, great; abundant, flourishing"
贞,zhēn,"virtuous, chaste, pure; loyal"
荐,jiàn,"repeat, reoccur; recommend"
哑,yǎ,"dumb, mute; become hoarse"
炭,tàn,charcoal; coal; carbon
坟,fén,"grave, mound; bulge; bulging"
眨,zhǎ,wink
搏,bó,seize; spring upon; strike
咳,hāi,cough
拢,lǒng,"collect, bring together"
舅,jiù,
昧,mèi,"obscure, dark; darken"
擅,shàn,monopolize; claim; arbitrarily; to dare
爽,shuǎng,"happy, cheerful; refreshing"
咖,kā,coffee; a phonetic
搁,gē,"place, put, lay down; delay"
禄,lù,"blessing, happiness, prosperity"
雌,cí,"female; feminine; gentle, soft"
哨,shào,"whistle, blow whistle; chirp"
巩,gǒng,"bind; firm, secure, strong"
绢,juàn,kind of thick stiff silk
螺,luó,spiral shell; conch; spiral
裹,guǒ,"wrap, bind; encircle, confine"
昔,xī,formerly; ancient; in beginning
轩,xuān,carriage; high; wide; balcony
谬,miù,"error, exaggeration; erroneous"
谍,dié,an intelligence report; to spy; spying
龟,guī,turtle or tortoise; cuckold
媳,xí,daughter-in-law
姜,jiāng,surname; ginger
瞎,xiā,"blind, reckless; rash"
冤,yuān,"grievance, injustice, wrong"
鸦,yā,crow; Corvus species (various)
蓬,péng,type of raspberry; fairyland
巷,xiàng,"alley, lane"
琳,lín,"beautiful jade, gem"
栽,zāi,"to cultivate, plant; to care for plants"
沾,zhān,"moisten, wet, soak; touch"
诈,zhà,"cheat, defraud, swindle; trick"
斋,zhāi,vegetarian diet; study
瞒,mán,"deceive, lie; eyes half-closed"
彪,biāo,tiger; tiger stripes; tiger-like
厄,è,"adversity, difficulty, distress"
咨,zī,"inquire, consult, discuss; plan"
纺,fǎng,"spin, reel, weave; reeled pongee"
罐,guàn,"jar, jug, pitcher, pot"
桶,tǒng,"pail, bucket, tub; cask, keg"
壤,rǎng,"soil, loam, earth; rich"
糕,gāo,"cakes, pastry"
颂,sòng,"laud, acclaim; hymn; ode"
膨,péng,"to swell; swollen, bloated, inflated"
谐,xié,"harmonize, agree; joke, jest"
垒,lěi,"rampart, military wall"
咕,gū,"mumble, mutter, murmur; rumble"
隙,xì,"crack, split, fissure; grudge"
辣,là,"peppery, pungent, hot; cruel"
绑,bǎng,"bind, tie, fasten"
宠,chǒng,"favorite, concubine; favor"
嘿,hēi,"be silent, be quiet"
兑,duì,cash; exchange
霉,méi,"mildew, mold; moldy, mildewed"
挫,cuò,push down; chop down; grind
稽,jī,"examine, investigate; delay"
辐,fú,spokes of wheel
乞,qǐ,beg; request
纱,shā,"gauze, thin silk; yarn, thread"
裙,qún,"skirt, apron, petticoat"
嘻,xī,"mirthful, happy; interjection"
哇,wa,vomit; cry of an infant
绣,xiù,embroider; embroidery; ornament
杖,zhàng,"cane, walking stick"
塘,táng,"pond; tank; dike, embankment"
衍,yǎn,"overflow, spill over, spread out"
轴,zhóu,"axle, axletree; pivot; axis"
攀,pān,climb; pull; hang on to
膊,bó,"shoulders, upper arms"
譬,pì,"metaphor, simile, example"
斌,bīn,"refined, having both appearance"
祈,qí,"pray; entreat, beseech"
踢,tī,kick
肆,sì,"indulge; excess; numeral four; particle meaning now, therefore; shop"
坎,kǎn,"pit, hole; snare, trap; crisis"
轿,jiào,"sedan-chair, palanquin"
棚,péng,"tent, awning; booth; shed"
泣,qì,"cry, sob, weep"
屡,lǚ,"frequently, often, again and again"
躁,zào,"tense, excited, irritable"
邱,qiū,surname; hill; mound; grave
凰,huáng,female phoenix
溢,yì,"overflow, brim over; full"
椎,chuí,"hammer, mallet; vertebra"
砸,zá,"smash, crush, break; pound, mash"
趟,tàng,"time, occasion; take journey"
帘,lián,flag-sign of a tavern
帆,fān,sail; boat
栖,qī,perch; roost; stay
窜,cuàn,"run away; revise, edit; expel"
丸,wán,"small round object; pellet, pill"
斩,zhǎn,"cut, chop, sever; behead"
堤,dī,dike
塌,tā,"fall in ruins, collapse"
贩,fàn,"peddler, hawker, street merchant"
厢,xiāng,"side-room, wing; theatre box"
掀,xiān,"lift, raise; stir"
喀,kā,vomit; used in transliterations
乖,guāi,"rebel; crafty, shrewd"
谜,mí,"riddle, conundrum; puzzle"
捏,niē,pick with fingers; knead; mold
阎,yán,village gate; surname
滨,bīn,"beach, sea coast; river bank"
虏,lǔ,"to capture, imprison, seize; a prison"
匙,shi,spoon; surname
芦,lú,"rushes, reeds"
苹,píng,artemisia; duckweed; apple
卸,xiè,lay down; retire from office
沼,zhǎo,"lake, fishpond, swamps"
钥,yào,key; lock
株,zhū,numerary adjunct for trees; root
祷,dǎo,"pray; entreat, beg, plead; prayer"
剖,pōu,"split in two, slice; dissect"
熙,xī,"bright, splendid, glorious"
哗,huā,rushing sound; gush forward
劈,pī,"cut apart, split, chop"
怯,qiè,"lacking in courage, afraid"
棠,táng,crab apple tree; wild plums
胳,gē,"armpit, arms"
桩,zhuāng,"stake, post; affair, matter"
瑰,guī,"extraordinary, fabulous; rose"
娱,yú,"pleasure, enjoyment, amusement"
娶,qǔ,"marry, take wife"
沫,mò,"froth, foam, bubbles, suds"
嗓,sǎng,voice; throat
蹲,dūn,"squat, crouch; idle about"
焚,fén,burn
淘,táo,wash in sieve; weed out
嫩,nèn,"soft, tender, delicate; young"
韵,yùn,rhyme; vowel
衬,chèn,underwear; inner garments
匈,xiōng,
钧,jūn,unit of measure equivalent to thirty catties
竖,shù,"perpendicular, vertical; erect"
峻,jùn,"high, steep, towering; stern"
豹,bào,"leopard, panther; surname"
捞,lāo,"scoop out of water; dredge, fish"
菊,jú,chrysanthemum
鄙,bǐ,mean; low
魄,pò,vigor; body; dark part of moon
兜,dōu,pouch
哄,hōng,"coax; beguile, cheat, deceive"
颖,yǐng,rice tassel; sharp point; clever
镑,bàng,pound sterling
屑,xiè,"bits, scraps, crumbs, fragments"
蚁,yǐ,ants
壶,hú,"jar, pot, jug, vase; surname"
怡,yí,"harmony; pleasure, joy; be glad"
渗,shèn,"soak through, infiltrate"
秃,tū,bald
迦,jiā,character for transliteration
旱,hàn,drought; dry; dry land
哟,yō,"ah, final particle"
咸,xián,"together; all, completely; united"
焉,yān,"thereupon, then; how? why? where?"
谴,qiǎn,"reprimand, scold, abuse"
宛,wǎn,"seem, as if, crooked"
稻,dào,"rice growing in field, rice plant"
铸,zhù,"melt, cast; coin, mint"
锻,duàn,"forge metal; temper, refine"
伽,jiā,
詹,zhān,"surname; talk too much, verbose"
毙,bì,kill; die violent death
恍,huǎng,seemingly; absent-minded
贬,biǎn,"decrease, lower; censure, criticize"
烛,zhú,"candle, taper; shine, illuminate"
骇,hài,"terrify, frighten, scare; shock"
芯,xīn,pith from rush (juncus effusus)
汁,zhī,"juice, liquor, fluid, sap, gravy, sauce"
桓,huán,variety of tree; surname
坊,fāng,
驴,lǘ,"donkey, ass"
朽,xiǔ,"decayed, rotten; rot, decay"
靖,jìng,"pacify; appease; calm, peaceful"
佣,yōng,commission fee
汝,rǔ,you
碌,lù,"rough, uneven, rocky; mediocre"
迄,qì,"extend, reach; until; till"
冀,jì,hope for; wish; Hebei province
荆,jīng,thorns; brambles; my wife; cane
崔,cuī,"high, lofty, towering; surname"
雁,yàn,wild goose
绅,shēn,"girdle; tie, bind; gentry"
珊,shān,coral
榜,bǎng,placard; list of successful exam candidates
诵,sòng,"recite, chant, repeat"
傍,bàng,"by side of, beside, near, close"
彦,yàn,elegant
醇,chún,"rich, good as wine; pure, unmixed"
笛,dí,bamboo flute; whistle
禽,qín,"birds, fowl; surname;; capture"
勿,wù,"must not, do not; without, never"
娟,juān,"beautiful, graceful"
瞄,miáo,take aim at; look at
幢,chuáng,carriage curtain; sun screen
寇,kòu,"bandits, thieves; enemy; invade"
睹,dǔ,"look at, gaze at; observe"
贿,huì,"bribe; bribes; riches, wealth"
踩,cǎi,step on
霆,tíng,a sudden peal of thunder
呜,wū,"sound of crying, sobbing"
拱,gǒng,"fold hands on breast; bow, salute"
妃,fēi,"wife, spouse; imperial concubine"
蔑,miè,"disdain, disregard; slight"
谕,yù,"proclaim, instruct; edict"
缚,fù,to tie
诡,guǐ,"deceive, cheat, defraud; sly"
篷,péng,"awning, covering; sail; boat"
淹,yān,"drown; cover with liquid, steep"
腕,wàn,wrist
煮,zhǔ,cook
倩,qiàn,"beautiful, lovely; son-in-law"
卒,zú,"soldier; servant; at last, finally"
勘,kān,investigate; compare; collate
馨,xīn,"fragrant, aromatic; distant fragrance"
逗,dòu,"tempt, allure, arouse, stir"
甸,diān,suburbs of capital; govern; crops
贱,jiàn,"mean, low; cheap, worthless"
炒,chǎo,"fry, saute, roast, boil, cook"
灿,càn,"vivid, illuminating; bright"
敞,chǎng,"roomy, spacious, open, broad"
蜡,là,"wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to 䄍, meaning imperial harvest"
囚,qiú,"prisoner, convict; confine"
栗,lì,"chestnut tree, chestnuts; surname"
辜,gū,"crime, criminal offense"
垫,diàn,"advance money, pay for another"
妒,dù,"jealous, envious"
魁,kuí,chief; leader; best; monstrous
谣,yáo,"sing; folksong, ballad; rumor"
寞,mò,"silent, still, lonely, solitary"
蜀,shǔ,name of an ancient state
甩,shuǎi,"throw away, discard"
涯,yá,
枕,zhěn,pillow
丐,gài,beggar; beg; give
泳,yǒng,dive; swim
奎,kuí,stride of man; one of the twenty-eight lunar mansions
泌,mì,"to seep out, excrete"
逾,yú,"go over, pass over, exceed"
叮,dīng,exhort or enjoin repeatedly
黛,dài,blacken eyebrows; black
燥,zào,"dry, parched, arid; quick-tempered"
掷,zhì,"throw, hurl, cast, fling"
藉,jí,"mat, pad; rely on; pretext"
枢,shū,door hinge; pivot; center of power
憎,zēng,"hate, detest, abhor; hatred"
鲸,jīng,whale
弘,hóng,"enlarge, expand; liberal, great"
倚,yǐ,"rely on, depend on; lean heavily"
侮,wǔ,"insult, ridicule, disgrace"
藩,fān,fence; boundary; outlying border
拂,fú,"shake off, brush away; dust"
鹤,hè,crane; Grus species (various)
蚀,shí,nibble away; erode; eclipse
浆,jiāng,any thick fluid; starch; broth
芙,fú,hibiscus
垃,lā,"garbage, refuse, waste"
烤,kǎo,"bake, roast, toast, cook"
晒,shài,"dry in sun, expose to sun"
霜,shuāng,frost; crystallized; candied
剿,jiǎo,"destroy, exterminate, annihilate"
蕴,yùn,"to collect, gather, store; profound"
圾,jī,"garbage, rubbish; shaking; danger"
绸,chóu,"silk cloth, satin damask"
屿,yǔ,island
氢,qīng,ammonia; hydrogen nitride
驼,tuó,a camel; humpbacked; to carry on the back
妆,zhuāng,"to adorn oneself, dress up, use make-up"
捆,kǔn,"tie up; bind, truss up; bundle"
铅,qiān,lead
逛,guàng,"ramble, stroll, roam, wander"
淑,shū,"good, pure, virtuous, charming"
榴,liú,pomegranate
丙,bǐng,third; 3rd heavenly stem
痒,yǎng,itch
钞,chāo,"paper money, bank notes; copy"
蹄,tí,hoof; leg of pork; little witch
犬,quǎn,dog; radical number 94
